StoreName;StoreCity;ProductName;Brand;Category;SpecsSummary;Description;PriceUSD;PriceIDR;Stock;Condition;ExperienceLevel;SoundSignature;Images
Bass Audio Official Store;Jakarta Pusat;Moondrop Blessing 3;Moondrop;IN-EAR MONITORS;2DD+4BA Hybrid IEM with 3D Printed Acoustic Tube;Flagship hybrid earphone generasi terbaru dari Moondrop dengan konfigurasi Horizontally Opposed Double Dynamic Driver (H.O.D.D.D.U.S) untuk bass presisi dan 4 custom Balanced Armature untuk vokal jernih transparan.;319.99;4999000;25;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/0023/9255/5595/files/moondrop-blessing3-0-thumb.jpg?v=1712155735
Bass Audio Official Store;Jakarta Pusat;Simgot EA1000 Fermat;Simgot;IN-EAR MONITORS;1DD + 1PR Dual-Cavity Dynamic Driver IEM with Replaceable Nozzles;IEM single dynamic kelas menengah atas dari Simgot dengan teknologi diafragma SDG dan passive radiator untuk hentakan bass berbobot, imaging presisi, dan vokal jernih memukau.;219.99;3450000;20;Brand New Sealed;INTERMEDIATE;BRIGHT;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/203A2258.jpg?v=1696906918
Bass Audio Official Store;Jakarta Selatan;Kiwi Ears Orchestra Lite;Kiwi Ears;IN-EAR MONITORS;8 Balanced Armature Drivers per Side Audiophile In-Ear Monitor;IEM all-BA 8-driver per sisi dengan tuning referensi alami yang sangat seimbang, separasi instrumen terpisah rapi, isolasi suara superior, dan kenyamanan housing resin medis.;249;3850000;15;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/0023/9255/5595/files/kiwi-ears-orch-lite-thumb-three.webp?v=1734709078
Bass Audio Official Store;Surabaya;Tangzu Wan'er S.G Studio Edition;Tangzu;IN-EAR MONITORS;10mm PET Diaphragm Dynamic Driver Studio Tuned Reference;IEM entry-level favorit dengan tuning referensi netral yang dirancang khusus untuk monitoring vokal natural, clarity seimbang, dan bass yang terkontrol rapi.;21;325000;85;Brand New Sealed;BEGINNER;NEUTRAL;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/1_1_6de22a9c-f831-4360-8118-a3efa7fe26b3.jpg?v=1740021487
Kuping Sensi;Bandung;Sennheiser HD 560S;Sennheiser;HEADPHONES;Open-Back Circumaural Reference Headphone with E.A.R. Acoustic Refinement;Headphone open-back referensi dengan akurasi tonal linier, soundstage luas, dan reproduksi vokal serta instrumen yang sangat transparan dan jujur untuk analitik audio.;199;3150000;18;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/0065/4432/6771/products/HD560S.png?v=1762457796
Kuping Sensi;Bandung;Hifiman Edition XS;Hifiman;HEADPHONES;Stealth Magnet Planar Magnetic Open-Back Headphone;Headphone planar magnetik dengan diafragma skala nanometer dan magnet stealth transparan akustik untuk soundstage megah dan separasi instrumen terpisah sempurna.;449;7100000;15;Brand New Sealed;ENTHUSIAST;BRIGHT;https://cdn.shopify.com/s/files/1/0023/9255/5595/products/HIFIMAN-Edition-XS-Planar-Magnetic-Open-Back-Headphones.jpg?v=1641989998
Kuping Sensi;Denpasar (Bali);Topping DX3 Pro+;Topping;DAC/AMP;Desktop DAC & Headphone AMP ES9038Q2M Bluetooth 5.0 LDAC;DAC dan amplifier headphone desktop serbaguna bertenaga tinggi dengan chip ESS Sabre ES9038Q2M, modul NFCA ultra-low noise, dan decoding hingga DSD512 PCM 768kHz.;199;3150000;20;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/1791/0383/products/ToppingDX3ProBlack1024x1024.jpg?v=1707787646
Kuping Sensi;Denpasar (Bali);FiiO K7 Balanced Desktop DAC/AMP;FiiO;DAC/AMP;Truly Balanced Desktop DAC & Headphone AMP Dual AK4493SEQ THX AAA 788+;DAC/Amp desktop balance sejati dengan dual AK4493S, teknologi amplifikasi THX AAA 788+, dan keluaran tenaga hingga 2000mW untuk menggerakkan segala jenis headphone.;199.99;3190000;14;Brand New Sealed;INTERMEDIATE;WARM;https://cdn.shopify.com/s/files/1/0023/9255/5595/files/fiio-k-7-thumb-two.webp?v=1732906763
Kuping Sensi;Medan;Sony NW-A306 Android Walkman DAP;Sony;DIGITAL AUDIO PLAYERS;Hi-Res Audio Android Walkman DAP with S-Master HX & DSEE Ultimate;Pemutar musik portabel kompak berbasis Android dengan amplifikasi digital murni S-Master HX, DSEE Ultimate AI upscaling, dan daya tahan baterai hingga 36 jam.;349.99;5490000;10;Brand New Sealed;INTERMEDIATE;WARM;https://cdn.shopify.com/s/files/1/0065/4432/6771/files/assets_Asset_Hierarchy_Consumer_Assets_Portable_Electronics_Walkman_Walkman_MP3_Player_2023_NW-A306_eComm_Product_Images_NWA306B_03_NW-A300_H_angle_front_Playcopy_ed939287-7530-4d78-a71d-a7db18fdbd01.jpg?v=1762466721
Tangzu Official;Semarang;Tangzu Fudu Verse 1;Tangzu;IN-EAR MONITORS;1DD + 2BA Hybrid IEM with CNC Aluminum Faceplate & Tang Sancai Tips;IEM hybrid kolaborasi Tangzu dengan konfigurasi 10mm Dynamic Driver dan 2 custom Balanced Armatures, menghadirkan suara warm-smooth, vokal tebal, dan kenyamanan eartips Tang Sancai.;89;1390000;35;Brand New Sealed;INTERMEDIATE;WARM;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/1__1_13.jpg?v=1755243373
Tangzu Official;Yogyakarta;Tangzu Nezha Flagship;Tangzu;IN-EAR MONITORS;Tribrid 6BA + 1EST + Piezoelectric Flagship IEM with Electroplated Shell;IEM flagship mahakarya Tangzu dengan konfigurasi 6 Balanced Armature, 1 Sonion Electrostatic driver, dan driver Piezo PZT untuk resolusi suara tingkat dewa dan detail panggung 3D luar biasa.;399;6250000;10;Brand New Sealed;FLAGSHIP;NEUTRAL;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/0f491dd5b19401736c48e869eb24b11.jpg?v=1699426099
Tangzu Official;Surabaya;Tangzu Tang Sancai Medical Silicone Eartips (Set);Tangzu;ACCESSORIES;Medical Grade Silicone Eartips with Matte Textured Pattern (S/M/L);Eartip berpaten dengan pola relief mikroskopis untuk melepaskan tekanan udara pada kanal telinga, meningkatkan kenyamanan, dan menghasilkan vokal yang jernih tanpa sibilance.;14;220000;150;Brand New Sealed;BEGINNER;NEUTRAL;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/tangsancai-1.png?v=1685429748
Moondrop Official;Semarang;Moondrop Chu II;Moondrop;IN-EAR MONITORS;10mm High-Performance Dynamic Driver with Al-Mg Alloy Dome & Detachable Cable;IEM entry level terpopuler di dunia dengan diafragma paduan Aluminium-Magnesium, bodi zinc alloy kokoh, nozzle kuningan yang dapat diganti, dan tuning VDSF Target yang seimbang natural.;18.99;299000;200;Brand New Sealed;BEGINNER;V_SHAPE;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/5_2f49efbf-6c26-47eb-b6ad-795661381cbb.jpg?v=1689072074
Moondrop Official;Yogyakarta;Moondrop Kato;Moondrop;IN-EAR MONITORS;10mm ULT Dynamic Driver with Replaceable Acoustic Nozzle Stainless Steel;IEM single dynamic legendaris dengan driver ULT generasi ketiga, diafragma DLC komposit, bodi stainless steel MIM mirror-polished, dan suara warm-neutral organik yang sangat musikal.;189.99;2950000;40;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/0065/4432/6771/products/Untitled-1_7e52a52d-b08f-4411-82ed-508f87b24c24b.jpg?v=1762458596
Moondrop Official;Surabaya;Moondrop Variations;Moondrop;IN-EAR MONITORS;Tribrid 1DD + 2BA + 2EST Electrostatic In-Ear Monitor;IEM referensi kelas atas dengan perpaduan 10mm LCP Dynamic Driver untuk sub-bass berbobot, 2 Softears BA untuk midrange vokal natural, dan dual Sonion EST untuk treble udara tanpa batas.;520;8190000;15;Brand New Sealed;ENTHUSIAST;NEUTRAL;https://cdn.shopify.com/s/files/1/0023/9255/5595/files/moondrop-variations-main.png?v=1700569557
Moondrop Official;Surabaya;Moondrop Dawn Pro Portable DAC/AMP;Moondrop;DAC/AMP;Dual CS43131 High-Performance DAC Chips 3.5mm SE & 4.4mm Balanced;Dongle DAC portabel kompak berdesain bodi aluminium CNC dengan chip ganda CS43131, volume independen 100 tingkat, dan distorsi ultra-rendah 0.00014% THD+N.;49.99;780000;80;Brand New Sealed;BEGINNER;NEUTRAL;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/6_9ba20667-4051-4e9c-9f79-c1d1d0cd80fe.jpg?v=1756273127
Moondrop Official;Surabaya;Moondrop Space Travel TWS;Moondrop;WIRELESS & TWS;Bluetooth 5.3 ANC True Wireless Earbuds with 13mm Titanium Dome Driver;TWS bertema anime cyberpunk dengan active noise cancellation (ANC) 35dB, latensi rendah 55ms untuk gaming, dan tuning kurva VDSF khas audiophile.;24.99;390000;120;Brand New Sealed;BEGINNER;WARM;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/1_ca06ca06-726e-4725-b7b7-a0f3d3e9c415.jpg?v=1764839370
Kinera Audio Official;Surabaya;Kinera Celest Wyvern Pro Gaming IEM;Kinera;IN-EAR MONITORS;10mm LCP Diaphragm Dynamic Driver with Detachable Boom Microphone;IEM gaming dan musik dengan tema naga mitologi Tiongkok, diafragma LCP berkecepatan tinggi untuk akurasi positioning step suara dan mikrofon boom detachable jernih untuk voice chat.;29;450000;60;Brand New Sealed;BEGINNER;V_SHAPE;https://www.headphonezone.in/cdn/shop/files/Headphone-Zone-Kinera-Celest-Wyvern-Pro-01.jpg?v=1698994098&width=800
Kinera Audio Official;Surabaya;Kinera Celest Pandamon 2.0;Kinera;IN-EAR MONITORS;10mm Enhanced SPD (Square Planar Driver) 2.0 In-Ear Earphone;IEM berbasis Square Planar Driver generasi kedua yang memberikan transien cepat, tekstur bass punchy, dan panggung suara terbuka yang bebas distorsi harmonik.;59;920000;40;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/0257/3333/3066/files/Concept-Kart-Kinera-Celest-Pandamon-IEM-Silver-1-_12.jpg?v=1692363445
Kinera Audio Official;Surabaya;Kinera Imperial Nanna 2.0 Pro;Kinera;IN-EAR MONITORS;Tribrid 1DD + 1BA + 2 Sonion EST Flagship Hand-Painted IEM;IEM flagship seni lukis tangan dengan perpaduan 7mm Dynamic Driver, Sonion BA, dan dual Sonion Electrostatic driver untuk reproduksi vokal magis dan treble berkilau yang anggun.;949;14900000;6;Brand New Sealed;FLAGSHIP;WARM;https://cdn.shopify.com/s/files/1/0065/4432/6771/products/150006x.jpg?v=1762457578
Tanchjim Official Store;Surabaya;Tanchjim Tanya DSP Edition;Tanchjim;IN-EAR MONITORS;7mm Micro Dynamic Driver with Type-C DSP DAC Built-in Cable;Bullet-style earphone mikro yang sangat nyaman digunakan untuk tidur atau bepergian, dilengkapi chip DSP Type-C dengan filter koreksi akustik tingkat profesional.;23.99;375000;90;Brand New Sealed;BEGINNER;WARM;https://cdn.shopify.com/s/files/1/0257/3333/3066/files/Concept-Kart-TANCHJIM-Tanya-Wired-IEM-with-Mic-Silver-8.jpg?v=1682946697
Tanchjim Official Store;Surabaya;Tanchjim Origin Flagship Dynamic IEM;Tanchjim;IN-EAR MONITORS;10mm 5th Gen DMT Dynamic Driver Stainless Steel Housing with Replaceable Filters;Flagship single dynamic driver dari Tanchjim dengan teknologi sirkuit magnetik DMT generasi kelima, bodi stainless steel mewah, dan kejernihan vokal resolusi tinggi.;259.99;4090000;20;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/0040/7201/3924/files/1_2ae876b1-a36e-433b-848d-4d3a00159fd3.jpg?v=1706861135
Tin hifi Official ;Surabaya;Tin HiFi C2 Mech Warrior;Tin HiFi;IN-EAR MONITORS;10mm PU + LCP Composite Diaphragm Aviation Grade Aluminum Shell;IEM budget berdesain mecha futuristik berbahan aluminium penerbangan, menyajikan suara seimbang dengan bass berdefinisi tinggi dan treble yang renyah tanpa menusuk telinga.;29;450000;70;Brand New Sealed;BEGINNER;V_SHAPE;https://cdn.shopify.com/s/files/1/0257/3333/3066/files/Concept-Kart-Tin-HiFi-C3-Wired-IEM-Black-2-_8_4d2a2f10-dc24-4673-bcd4-05cc0132f7d1.jpg?v=1682921010
Tin hifi Official ;Surabaya;Tin HiFi T3 Plus;Tin HiFi;IN-EAR MONITORS;10mm LCP Dynamic Driver with 3D Resin Marble Faceplate;IEM favorit audiophile dengan faceplate bermotif marmer elegan, menghasilkan suara warm-engaging yang empuk untuk genre pop, akustik, dan jazz.;69;1080000;35;Brand New Sealed;INTERMEDIATE;WARM;https://cdn.shopify.com/s/files/1/0065/4432/6771/products/9c0b4dfb9f.jpg?v=1762460390
EPZ Official Store;Surabaya;EPZ Q1 Pro;EPZ;IN-EAR MONITORS;10mm Dual-Cavity PU+LCP Dynamic Driver 3D DLP Resin Shell;IEM resin cetak 3D dengan ergonomi lekuk telinga sempurna, menyajikan separasi vokal intim dan sub-bass yang bertenaga untuk penggunaan sehari-hari.;36;560000;55;Brand New Sealed;BEGINNER;NEUTRAL;https://cdn.shopify.com/s/files/1/0257/3333/3066/files/Concept-Kart-EPZ-Q1Pro-Iem-NoMic-Blu-1_9.jpg?v=1708940606
EPZ Official Store;Surabaya;EPZ 530 Flagship;EPZ;IN-EAR MONITORS;5 Balanced Armature (Sonion + Knowles) Drivers with Stabilized Wood Faceplate;IEM flagship murni multi-BA dengan faceplate kayu stabilisasi artistik, distorsi rendah, dan keakuratan tonal tingkat monitor panggung profesional.;499;7850000;10;Brand New Sealed;ENTHUSIAST;NEUTRAL;https://cdn.shopify.com/s/files/1/0065/4432/6771/products/JIN_7796-scaled.jpg?v=1759442454
EPZ Official Store;Surabaya;EPZ TP50 Portable DAC/AMP;EPZ;DAC/AMP;Dual CS43198 Flagship DAC with OLED Display & 4.4mm Balanced 240mW Output;DAC/Amp portabel berlayar OLED informatif dengan dual chip Cirrus Logic CS43198, dukungan DSD256, dan keluaran tenaga seimbang 4.4mm yang bersih bebas desis.;119;1870000;25;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/0257/3333/3066/files/Concept-Kart-Epz-Tp50-Dac_Amp-1_1_ac5d57de-c036-4743-b8d4-00056cb11eea.jpg?v=1711523829
Kiwi Ears Official Store;Surabaya;Kiwi Ears Cadenza;Kiwi Ears;IN-EAR MONITORS;10mm Beryllium-Coated Dynamic Driver with 3D Medical Resin Housing;IEM budget legendaris dengan diafragma berlapis Beryllium yang menghadirkan respon bass cepat, tonalitas warm-balanced yang musikal, dan kenyamanan pemakaian luar biasa.;35;545000;110;Brand New Sealed;BEGINNER;WARM;https://cdn.shopify.com/s/files/1/0023/9255/5595/files/kiw-cadenza-2-thumb.webp?v=1770067306
Kiwi Ears Official Store;Surabaya;Kiwi Ears Quintet;Kiwi Ears;IN-EAR MONITORS;Quadbrid IEM (1 Diamond-Like Carbon DD + 2 BA + 1 Planar + 1 PZT Driver);IEM revolusioner dengan 4 jenis driver berbeda per sisi (DLC DD, Dual Knowles BA, Micro Planar, dan Bone Conductor PZT) untuk resolusi panggung suara 3D dan detail frekuensi lengkap.;219;3450000;25;Brand New Sealed;INTERMEDIATE;NEUTRAL;https://cdn.shopify.com/s/files/1/0023/9255/5595/files/kiwi-ears-quintet-thumb-three.webp?v=1734717472
Earfun Official Store;Surabaya;EarFun Free Pro 3 TWS;EarFun;WIRELESS & TWS;Qualcomm QCC3072 aptX Adaptive ANC Wireless Earbuds with Snapdragon Sound;TWS ultra-kompak bersertifikasi Hi-Res Wireless dengan dukungan codec Snapdragon Sound aptX Adaptive, QuietSmart 2.0 ANC hingga 43dB, dan mode gaming latensi rendah 55ms.;79.99;1250000;65;Brand New Sealed;BEGINNER;V_SHAPE;https://cdn.shopify.com/s/files/1/0257/3333/3066/products/Concept-Kart-TIN-HiFi-T3-Plus-Wired-IEM-Black-17.jpg?v=1669371152
Earfun Official Store;Surabaya;EarFun Wave Pro ANC Headphones;EarFun;HEADPHONES;40mm DLC Dynamic Driver Wireless Over-Ear Headphone with LDAC & 80H Playtime;Headphone wireless over-ear dengan daya tahan baterai fantastis 80 jam, sertifikasi Hi-Res Audio LDAC, peredam bising aktif hybrid 45dB, dan bantalan telinga busa memori empuk.;89.99;1410000;40;Brand New Sealed;BEGINNER;BASSHEAD;https://cdn.shopify.com/s/files/1/0065/4432/6771/products/HD560S.png?v=1762457796
Sony Official Store;Surabaya;Sony IER-M9 Audiophile Stage Monitor;Sony;IN-EAR MONITORS;5 Balanced Armature System with Integrated Magnesium Inner Housing;IEM stage monitor profesional kelas referensi dari Sony dengan 5 driver BA asli Sony, housing dalam magnesium terintegrasi, kapasitor film kelas audio, dan isolasi akustik superior.;999.99;15999000;8;Brand New Sealed;FLAGSHIP;NEUTRAL;https://cdn.shopify.com/s/files/1/0065/4432/6771/files/assets_Asset_Hierarchy_Consumer_Assets_Portable_Electronics_Walkman_Walkman_MP3_Player_2023_NW-A306_eComm_Product_Images_NWA306B_03_NW-A300_H_angle_front_Playcopy_ed939287-7530-4d78-a71d-a7db18fdbd01.jpg?v=1762466721
Sony Official Store;Surabaya;Sony IER-Z1R Flagship In-Ear Headphones;Sony;IN-EAR MONITORS;HD Hybrid Driver System (12mm Dynamic + BA + 5mm Super Tweeter) Zirconium Housing;Puncak mahakarya in-ear Sony buatan tangan di Jepang dengan bodi Zirconium tahan karat, panggung suara atmosferik megah, dan kedalaman sub-bass paling bertenaga di kelas flagship.;1699.99;26999000;4;Brand New Sealed;FLAGSHIP;V_SHAPE;https://cdn.shopify.com/s/files/1/0153/8863/files/Headphone-Zone-Sony-IER-Z1R-01.jpg?v=1688026093
Sony Official Store;Surabaya;Sony WH-1000XM5 Wireless ANC Headphones;Sony;HEADPHONES;30mm Precision Driver with Dual Processor V1 & QN1 Active Noise Canceling;Headphone peredam bising terbaik di kelasnya dengan 8 mikrofon pengurang kebisingan, prosesor ganda V1 & QN1, transmisi Hi-Res LDAC, dan kenyamanan desain kulit sintetis lembut.;399.99;5999000;30;Brand New Sealed;INTERMEDIATE;WARM;https://cdn.shopify.com/s/files/1/0065/4432/6771/files/WH-1000XM6_black.png?v=1762469123
