Name,Brand,Category,SpecsSummary,PriceUSD,Stock,Condition,ExperienceLevel,SoundSignature,Images
"Moondrop Blessing 3","Moondrop","IN-EAR MONITORS","2DD+4BA Hybrid IEM with 3D Printed Acoustic Tube",319,25,"Brand New Sealed","INTERMEDIATE","NEUTRAL","https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=800"
"Sennheiser IE 900","Sennheiser","IN-EAR MONITORS","Flagship 7mm TrueResponse Driver Precision CNC Aluminum",1299,10,"Brand New Sealed","FLAGSHIP","NEUTRAL","https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=800"
"64 Audio U12t","64 Audio","IN-EAR MONITORS","12 BA Drivers with tia High Driver & apex Module",1999,5,"Brand New Sealed","FLAGSHIP","WARM","https://images.unsplash.com/photo-1484704849700-f032a568e944?w=800"
"Tangzu Wan'er S.G","Tangzu","IN-EAR MONITORS","10mm PET Diaphragm Dynamic Driver Budget King",20,100,"Brand New Sealed","BEGINNER","WARM","https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800"
"Sennheiser HD 660S2","Sennheiser","HEADPHONES","300-ohm Open-Back Dynamic Reference Audiophile Headphone",599,15,"Brand New Sealed","ENTHUSIAST","NEUTRAL","https://images.unsplash.com/photo-1583394838336-acd977736f90?w=800"
"Hifiman Edition XS","Hifiman","HEADPHONES","Stealth Magnet Planar Magnetic Open-Back Headphone",449,12,"Brand New Sealed","ENTHUSIAST","BRIGHT","https://images.unsplash.com/photo-1505740420928-5e560c06d30e?w=800"
"Topping DX3 Pro+","Topping","DAC/AMP","Desktop DAC & Headphone AMP ES9038Q2M Bluetooth LDAC",199,30,"Brand New Sealed","INTERMEDIATE","NEUTRAL","https://images.unsplash.com/photo-1546435770-a3e426bf472b?w=800"
"Chord Mojo 2","Chord Electronics","DAC/AMP","FPGA-based Portable DAC & Headphone Amplifier with Lossless DSP",650,8,"Brand New Sealed","FLAGSHIP","WARM","https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=800"
"FiiO M15S","FiiO","DIGITAL AUDIO PLAYERS","Android 10 Desktop/Portable Dual Mode DAP ES9038PRO",999,6,"Brand New Sealed","FLAGSHIP","NEUTRAL","https://images.unsplash.com/photo-1484704849700-f032a568e944?w=800"
"Effect Audio Ares S","Effect Audio","CABLES & ADAPTERS","UP-OCC Pure Copper 4-Wire Signature Series 4.4mm Balanced",199,20,"Brand New Sealed","ENTHUSIAST","WARM","https://images.unsplash.com/photo-1583394838336-acd977736f90?w=800"
"SpinFit W1 Medical Silicone Tips","SpinFit","ACCESSORIES","Double-layer core medical grade silicone eartips (S/M/L)",25,80,"Brand New Sealed","BEGINNER","NEUTRAL","https://images.unsplash.com/photo-1590658268037-6bf12165a8df?w=800"
